 time            vgs_fr          time            vds_fr         
 1.13280000e-06  7.14408984e-01  1.13280000e-06  6.20273621e-01 
 1.14280000e-06  7.14816076e-01  1.14280000e-06  6.16286073e-01 
 1.15280000e-06  7.15192321e-01  1.15280000e-06  6.12553928e-01 
 1.16280000e-06  7.15536235e-01  1.16280000e-06  6.09092135e-01 
 1.17280000e-06  7.15846461e-01  1.17280000e-06  6.05914515e-01 
 1.18280000e-06  7.16121773e-01  1.18280000e-06  6.03033702e-01 
 1.19280000e-06  7.16361087e-01  1.19280000e-06  6.00461099e-01 
 1.20280000e-06  7.16563456e-01  1.20280000e-06  5.98206842e-01 
 1.21280000e-06  7.16728082e-01  1.21280000e-06  5.96279760e-01 
 1.22280000e-06  7.16854317e-01  1.22280000e-06  5.94687355e-01 
 1.23280000e-06  7.16941660e-01  1.23280000e-06  5.93435777e-01 
 1.24280000e-06  7.16989769e-01  1.24280000e-06  5.92529808e-01 
 1.25280000e-06  7.16998452e-01  1.25280000e-06  5.91972853e-01 
 1.26280000e-06  7.16967677e-01  1.26280000e-06  5.91766933e-01 
 1.27280000e-06  7.16897563e-01  1.27280000e-06  5.91912683e-01 
 1.28280000e-06  7.16788388e-01  1.28280000e-06  5.92409355e-01 
 1.29280000e-06  7.16640583e-01  1.29280000e-06  5.93254822e-01 
 1.30280000e-06  7.16454731e-01  1.30280000e-06  5.94445594e-01 
 1.31280000e-06  7.16231566e-01  1.31280000e-06  5.95976823e-01 
 1.32280000e-06  7.15971967e-01  1.32280000e-06  5.97842330e-01 
 1.33280000e-06  7.15676961e-01  1.33280000e-06  6.00034622e-01 
 1.34280000e-06  7.15347710e-01  1.34280000e-06  6.02544915e-01 
 1.35280000e-06  7.14985515e-01  1.35280000e-06  6.05363173e-01 
 1.36280000e-06  7.14591804e-01  1.36280000e-06  6.08478135e-01 
 1.37280000e-06  7.14168133e-01  1.37280000e-06  6.11877357e-01 
 1.38280000e-06  7.13716171e-01  1.38280000e-06  6.15547260e-01 
 1.39280000e-06  7.13237705e-01  1.39280000e-06  6.19473176e-01 
 1.40280000e-06  7.12734621e-01  1.40280000e-06  6.23639408e-01 
 1.41280000e-06  7.12208904e-01  1.41280000e-06  6.28029284e-01 
 1.42280000e-06  7.11662631e-01  1.42280000e-06  6.32625231e-01 
 1.43280000e-06  7.11097957e-01  1.43280000e-06  6.37408842e-01 
 1.44280000e-06  7.10517109e-01  1.44280000e-06  6.42360950e-01 
 1.45280000e-06  7.09922382e-01  1.45280000e-06  6.47461715e-01 
 1.46280000e-06  7.09316121e-01  1.46280000e-06  6.52690701e-01 
 1.47280000e-06  7.08700719e-01  1.47280000e-06  6.58026969e-01 
 1.48280000e-06  7.08078605e-01  1.48280000e-06  6.63449168e-01 
 1.49280000e-06  7.07452235e-01  1.49280000e-06  6.68935624e-01 
 1.50280000e-06  7.06824080e-01  1.50280000e-06  6.74464439e-01 
 1.51280000e-06  7.06196619e-01  1.51280000e-06  6.80013581e-01 
 1.52280000e-06  7.05572329e-01  1.52280000e-06  6.85560988e-01 
 1.53280000e-06  7.04953673e-01  1.53280000e-06  6.91084652e-01 
 1.54280000e-06  7.04343093e-01  1.54280000e-06  6.96562722e-01 
 1.55280000e-06  7.03742998e-01  1.55280000e-06  7.01973591e-01 
 1.56280000e-06  7.03155758e-01  1.56280000e-06  7.07295984e-01 
 1.57280000e-06  7.02583689e-01  1.57280000e-06  7.12509050e-01 
 1.58280000e-06  7.02029049e-01  1.58280000e-06  7.17592437e-01 
 1.59280000e-06  7.01494027e-01  1.59280000e-06  7.22526377e-01 
 1.60280000e-06  7.00980735e-01  1.60280000e-06  7.27291756e-01 
 1.61280000e-06  7.00491198e-01  1.61280000e-06  7.31870188e-01 
 1.62280000e-06  7.00027348e-01  1.62280000e-06  7.36244077e-01 
 1.63280000e-06  6.99591016e-01  1.63280000e-06  7.40396681e-01 
 1.64280000e-06  6.99183924e-01  1.64280000e-06  7.44312165e-01 
 1.65280000e-06  6.98807679e-01  1.65280000e-06  7.47975655e-01 
 1.66280000e-06  6.98463765e-01  1.66280000e-06  7.51373281e-01 
 1.67280000e-06  6.98153539e-01  1.67280000e-06  7.54492223e-01 
 1.68280000e-06  6.97878227e-01  1.68280000e-06  7.57320747e-01 
 1.69280000e-06  6.97638913e-01  1.69280000e-06  7.59848236e-01 
 1.70280000e-06  6.97436544e-01  1.70280000e-06  7.62065223e-01 
 1.71280000e-06  6.97271918e-01  1.71280000e-06  7.63963413e-01 
 1.72280000e-06  6.97145683e-01  1.72280000e-06  7.65535709e-01 
 1.73280000e-06  6.97058340e-01  1.73280000e-06  7.66776224e-01 
 1.74280000e-06  6.97010231e-01  1.74280000e-06  7.67680303e-01 
 1.75280000e-06  6.97001548e-01  1.75280000e-06  7.68244530e-01 
 1.76280000e-06  6.97032323e-01  1.76280000e-06  7.68466738e-01 
 1.77280000e-06  6.97102437e-01  1.77280000e-06  7.68346018e-01 
 1.78280000e-06  6.97211612e-01  1.78280000e-06  7.67882716e-01 
 1.79280000e-06  6.97359417e-01  1.79280000e-06  7.67078441e-01 
 1.80280000e-06  6.97545269e-01  1.80280000e-06  7.65936055e-01 
 1.81280000e-06  6.97768434e-01  1.81280000e-06  7.64459673e-01 
 1.82280000e-06  6.98028033e-01  1.82280000e-06  7.62654653e-01 
 1.83280000e-06  6.98323039e-01  1.83280000e-06  7.60527584e-01 
 1.84280000e-06  6.98652290e-01  1.84280000e-06  7.58086272e-01 
 1.85280000e-06  6.99014485e-01  1.85280000e-06  7.55339719e-01 
 1.86280000e-06  6.99408196e-01  1.86280000e-06  7.52298105e-01 
 1.87280000e-06  6.99831867e-01  1.87280000e-06  7.48972761e-01 
 1.88280000e-06  7.00283829e-01  1.88280000e-06  7.45376135e-01 
 1.89280000e-06  7.00762295e-01  1.89280000e-06  7.41521764e-01 
 1.90280000e-06  7.01265379e-01  1.90280000e-06  7.37424230e-01 
 1.91280000e-06  7.01791096e-01  1.91280000e-06  7.33099116e-01 
 1.92280000e-06  7.02337369e-01  1.92280000e-06  7.28562962e-01 
 1.93280000e-06  7.02902043e-01  1.93280000e-06  7.23833204e-01 
 1.94280000e-06  7.03482891e-01  1.94280000e-06  7.18928123e-01 
 1.95280000e-06  7.04077618e-01  1.95280000e-06  7.13866772e-01 
 1.96280000e-06  7.04683879e-01  1.96280000e-06  7.08668916e-01 
 1.97280000e-06  7.05299281e-01  1.97280000e-06  7.03354950e-01 
 1.98280000e-06  7.05921395e-01  1.98280000e-06  6.97945824e-01 
 1.99280000e-06  7.06547765e-01  1.99280000e-06  6.92462957e-01 
 2.00280000e-06  7.07175920e-01  2.00280000e-06  6.86928155e-01 
 2.01280000e-06  7.07803381e-01  2.01280000e-06  6.81363510e-01 
 2.02280000e-06  7.08427671e-01  2.02280000e-06  6.75791315e-01 
