 time            vgs_fr          time            vds_fr         
 1.07280000e-06  7.11416311e-01  1.07280000e-06  7.65611182e-01 
 1.08280000e-06  7.11970951e-01  1.08280000e-06  7.60638582e-01 
 1.09280000e-06  7.12505973e-01  1.09280000e-06  7.55800142e-01 
 1.10280000e-06  7.13019265e-01  1.10280000e-06  7.51115770e-01 
 1.11280000e-06  7.13508802e-01  1.11280000e-06  7.46604794e-01 
 1.12280000e-06  7.13972652e-01  1.12280000e-06  7.42285879e-01 
 1.13280000e-06  7.14408984e-01  1.13280000e-06  7.38176934e-01 
 1.14280000e-06  7.14816076e-01  1.14280000e-06  7.34295032e-01 
 1.15280000e-06  7.15192321e-01  1.15280000e-06  7.30656323e-01 
 1.16280000e-06  7.15536235e-01  1.16280000e-06  7.27275968e-01 
 1.17280000e-06  7.15846461e-01  1.17280000e-06  7.24168058e-01 
 1.18280000e-06  7.16121773e-01  1.18280000e-06  7.21345558e-01 
 1.19280000e-06  7.16361087e-01  1.19280000e-06  7.18820239e-01 
 1.20280000e-06  7.16563456e-01  1.20280000e-06  7.16602631e-01 
 1.21280000e-06  7.16728082e-01  1.21280000e-06  7.14701971e-01 
 1.22280000e-06  7.16854317e-01  1.22280000e-06  7.13126166e-01 
 1.23280000e-06  7.16941660e-01  1.23280000e-06  7.11881753e-01 
 1.24280000e-06  7.16989769e-01  1.24280000e-06  7.10973878e-01 
 1.25280000e-06  7.16998452e-01  1.25280000e-06  7.10406269e-01 
 1.26280000e-06  7.16967677e-01  1.26280000e-06  7.10181221e-01 
 1.27280000e-06  7.16897563e-01  1.27280000e-06  7.10299592e-01 
 1.28280000e-06  7.16788388e-01  1.28280000e-06  7.10760798e-01 
 1.29280000e-06  7.16640583e-01  1.29280000e-06  7.11562816e-01 
 1.30280000e-06  7.16454731e-01  1.30280000e-06  7.12702199e-01 
 1.31280000e-06  7.16231566e-01  1.31280000e-06  7.14174090e-01 
 1.32280000e-06  7.15971967e-01  1.32280000e-06  7.15972245e-01 
 1.33280000e-06  7.15676961e-01  1.33280000e-06  7.18089066e-01 
 1.34280000e-06  7.15347710e-01  1.34280000e-06  7.20515632e-01 
 1.35280000e-06  7.14985515e-01  1.35280000e-06  7.23241743e-01 
 1.36280000e-06  7.14591804e-01  1.36280000e-06  7.26255964e-01 
 1.37280000e-06  7.14168133e-01  1.37280000e-06  7.29545684e-01 
 1.38280000e-06  7.13716171e-01  1.38280000e-06  7.33097166e-01 
 1.39280000e-06  7.13237705e-01  1.39280000e-06  7.36895618e-01 
 1.40280000e-06  7.12734621e-01  1.40280000e-06  7.40925254e-01 
 1.41280000e-06  7.12208904e-01  1.41280000e-06  7.45169372e-01 
 1.42280000e-06  7.11662631e-01  1.42280000e-06  7.49610428e-01 
 1.43280000e-06  7.11097957e-01  1.43280000e-06  7.54230118e-01 
 1.44280000e-06  7.10517109e-01  1.44280000e-06  7.59009461e-01 
 1.45280000e-06  7.09922382e-01  1.45280000e-06  7.63928886e-01 
 1.46280000e-06  7.09316121e-01  1.46280000e-06  7.68968323e-01 
 1.47280000e-06  7.08700719e-01  1.47280000e-06  7.74107289e-01 
 1.48280000e-06  7.08078605e-01  1.48280000e-06  7.79324984e-01 
 1.49280000e-06  7.07452235e-01  1.49280000e-06  7.84600380e-01 
 1.50280000e-06  7.06824080e-01  1.50280000e-06  7.89912315e-01 
 1.51280000e-06  7.06196619e-01  1.51280000e-06  7.95239586e-01 
 1.52280000e-06  7.05572329e-01  1.52280000e-06  8.00561032e-01 
 1.53280000e-06  7.04953673e-01  1.53280000e-06  8.05855632e-01 
 1.54280000e-06  7.04343093e-01  1.54280000e-06  8.11102583e-01 
 1.55280000e-06  7.03742998e-01  1.55280000e-06  8.16281384e-01 
 1.56280000e-06  7.03155758e-01  1.56280000e-06  8.21371921e-01 
 1.57280000e-06  7.02583689e-01  1.57280000e-06  8.26354537e-01 
 1.58280000e-06  7.02029049e-01  1.58280000e-06  8.31210107e-01 
 1.59280000e-06  7.01494027e-01  1.59280000e-06  8.35920106e-01 
 1.60280000e-06  7.00980735e-01  1.60280000e-06  8.40466672e-01 
 1.61280000e-06  7.00491198e-01  1.61280000e-06  8.44832668e-01 
 1.62280000e-06  7.00027348e-01  1.62280000e-06  8.49001731e-01 
 1.63280000e-06  6.99591016e-01  1.63280000e-06  8.52958331e-01 
 1.64280000e-06  6.99183924e-01  1.64280000e-06  8.56687806e-01 
 1.65280000e-06  6.98807679e-01  1.65280000e-06  8.60176415e-01 
 1.66280000e-06  6.98463765e-01  1.66280000e-06  8.63411366e-01 
